[Header] 2014-05-11 00:01:44,039 [10] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:10:21,929 [9] INFO  BayesClassify.Program [(null)] - learn start
[Header] 2014-05-11 00:13:09,089 [8] INFO  BayesClassify.Program [(null)] - learn start
2014-05-11 00:15:08,022 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看看:0.944606413994169
2014-05-11 00:15:08,023 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看我:1
2014-05-11 00:15:08,023 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,024 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,024 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 每天:0.994663382594417
2014-05-11 00:15:08,025 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 都有:0.9625
2014-05-11 00:15:08,025 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999791007984567
2014-05-11 00:15:08,026 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,027 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 里面:0.990654205607477
2014-05-11 00:15:08,028 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 气质:0.994459833795014
2014-05-11 00:15:08,029 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 身材:1
2014-05-11 00:15:08,029 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,029 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,031 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 世界:0.957848837209302
2014-05-11 00:15:08,032 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我在:0.752747252747253
2014-05-11 00:15:08,032 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 赶紧:0.966216216216216
2014-05-11 00:15:08,033 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你的:0.988729508196721
2014-05-11 00:15:08,033 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999994238953686
2014-05-11 00:15:08,033 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,035 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 真的:0.987913820283762
2014-05-11 00:15:08,035 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的是:0.969512195121951
2014-05-11 00:15:08,036 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 就是:0.983542319749216
2014-05-11 00:15:08,036 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 这是:0.923076923076923
2014-05-11 00:15:08,037 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 请点:1
2014-05-11 00:15:08,037 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 点击:1
2014-05-11 00:15:08,037 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,038 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,038 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 这么:0.972789115646258
2014-05-11 00:15:08,039 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 怎么:0.986013986013986
2014-05-11 00:15:08,039 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999603391006891
2014-05-11 00:15:08,040 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,040 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 自己:0.976411446249033
2014-05-11 00:15:08,041 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我们:0.9520264681555
2014-05-11 00:15:08,041 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 真的:0.987920168067227
2014-05-11 00:15:08,041 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999985114833449
2014-05-11 00:15:08,042 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,043 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 打底:1
2014-05-11 00:15:08,043 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,044 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,044 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,046 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一直:0.989208633093525
2014-05-11 00:15:08,046 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一个:0.977092662762659
2014-05-11 00:15:08,047 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 问题:0.979545454545455
2014-05-11 00:15:08,047 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 都是:0.98489666136725
2014-05-11 00:15:08,047 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我们:0.952066115702479
2014-05-11 00:15:08,048 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 干净:0.99375
2014-05-11 00:15:08,048 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 每次:0.996
2014-05-11 00:15:08,049 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 东西:0.978448275862069
2014-05-11 00:15:08,049 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 开始:0.965256797583082
2014-05-11 00:15:08,050 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 怀疑:1
2014-05-11 00:15:08,050 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 自己:0.976420564360263
2014-05-11 00:15:08,051 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 是不:0.965957446808511
2014-05-11 00:15:08,052 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 不是:0.985051743963204
2014-05-11 00:15:08,052 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 爱我:0.976608187134503
2014-05-11 00:15:08,053 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 们的:1
2014-05-11 00:15:08,053 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的人:0.979177789642285
2014-05-11 00:15:08,053 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 好多:0.994350282485876
2014-05-11 00:15:08,054 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,054 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,055 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 天内:1
2014-05-11 00:15:08,056 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,056 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,056 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 有一:0.986815415821501
2014-05-11 00:15:08,057 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一个:0.977096607542621
2014-05-11 00:15:08,057 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 手机:0.915032679738562
2014-05-11 00:15:08,058 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 重要:0.974522292993631
2014-05-11 00:15:08,058 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=0.999999239715094
2014-05-11 00:15:08,059 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,060 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,060 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,061 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 销量:1
2014-05-11 00:15:08,062 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,062 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,063 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 开始:0.965309200603318
2014-05-11 00:15:08,064 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 第二:0.950248756218905
2014-05-11 00:15:08,065 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的时:0.962536023054755
2014-05-11 00:15:08,065 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 时候:0.971938775510204
2014-05-11 00:15:08,066 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 没人:1
2014-05-11 00:15:08,066 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 不再:1
2014-05-11 00:15:08,067 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 那个:0.971098265895954
2014-05-11 00:15:08,068 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,068 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,070 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 销量:1
2014-05-11 00:15:08,070 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,071 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,073 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 销量:1
2014-05-11 00:15:08,074 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,074 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,077 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 今天:0.920245398773006
2014-05-11 00:15:08,077 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 醒来:1
2014-05-11 00:15:08,078 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 看见:0.994047619047619
2014-05-11 00:15:08,079 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 见了:1
2014-05-11 00:15:08,080 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 了一:0.974358974358974
2014-05-11 00:15:08,081 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一个:0.977100550964187
2014-05-11 00:15:08,082 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 朋友:0.98371104815864
2014-05-11 00:15:08,082 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 分手:1
2014-05-11 00:15:08,083 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 两个:0.980099502487562
2014-05-11 00:15:08,083 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 个人:0.973333333333333
2014-05-11 00:15:08,084 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 多年:1
2014-05-11 00:15:08,084 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 时间:0.955823293172691
2014-05-11 00:15:08,085 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 慢慢:0.938356164383562
2014-05-11 00:15:08,085 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 睡觉:0.991404011461318
2014-05-11 00:15:08,086 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 女生:0.976683937823834
2014-05-11 00:15:08,086 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 几天:0.995305164319249
2014-05-11 00:15:08,087 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 男友:1
2014-05-11 00:15:08,087 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 因为:0.982641041537508
2014-05-11 00:15:08,088 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 无论:0.99079754601227
2014-05-11 00:15:08,088 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 还是:0.970671712393567
2014-05-11 00:15:08,089 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 不过:0.971781305114638
2014-05-11 00:15:08,089 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 珍惜:0.974522292993631
2014-05-11 00:15:08,090 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 的爱:0.994505494505495
2014-05-11 00:15:08,090 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 妈妈:1
2014-05-11 00:15:08,090 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,091 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,092 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 说的:0.980952380952381
2014-05-11 00:15:08,092 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你们:0.960546282245827
2014-05-11 00:15:08,093 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 们的:1
2014-05-11 00:15:08,093 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 我们:0.952105697770438
2014-05-11 00:15:08,094 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 永远:0.983216783216783
2014-05-11 00:15:08,095 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一起:0.944971537001898
2014-05-11 00:15:08,096 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 最终P=1
2014-05-11 00:15:08,096 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - -----------垃圾的微博------------
2014-05-11 00:15:08,097 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 一条真实的没有任何维和词语的微博
2014-05-11 00:15:08,098 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 使用:0.997038499506417
2014-05-11 00:15:08,099 [12] INFO  BayesClassify.BayesLearning.PercentList [(null)] - 你也:0.966921119592875
